DOID:0001816,name,angiosarcoma
DOID:0001816,def,A vascular cancer that derives_from the cells that line the walls of blood vessels or lymphatic vessels.
DOID:0001816,synonym,hemangiosarcoma
DOID:0001816,is_a,DOID:175 
DOID:0002116,name,pterygium
DOID:0002116,def,A corneal disease that is characterized by a triangular tissue growth located_in cornea of the eye that is the result of collagen degeneration and fibrovascular proliferation.
DOID:0002116,synonym,surfers eye
DOID:0002116,is_a,DOID:10124 
DOID:0002116,create,laronhughes
DOID:0002116,createData,2010-06-30T02:44:30Z
DOID:0014667,name,disease of metabolism
DOID:0014667,def,A disease that involving errors in metabolic processes of building or degradation of molecules.
DOID:0014667,synonym,metabolic disease
DOID:0014667,is_a,DOID:4 
DOID:0050120,name,hemophagocytic lymphohistiocytosis
DOID:0050120,def,A lymphatic system disease that is characterized by an expansion of the monocyte-macrophage population and intense hemophagocytosis. It can occur de novo but more often occurs in the setting of another disorder usually an infection or a malignancy. A clinical picture of fever hepatosplenomegaly lymphadenopathy and peripheral pancytopenia. The morphologic hallmark of this syndrome is the phagocytosis of hematopoietic elements by morphologically normal macrophages.
DOID:0050120,synonym,haemophagocytic syndrome
DOID:0050120,is_a,DOID:75 
DOID:0050127,name,sinusitis
DOID:0050127,def,A paranasal sinus disease involving inflammation of the paranasal sinuses resulting from bacterial fungal viral infection allergic or autoimmune issues. Symptoms can include fever weakness fatigue cough and congestion. There may also be mucus drainage in the back of the throat called postnasal drip.
DOID:0050127,is_a,DOID:1352 
DOID:0050144,name,Kartagener syndrome
DOID:0050144,def,A primary ciliary dyskinesia that is characterized by sinusitis bronchiectasis and situs inversus with dextrocardia resulting from dysfunction of the cilia during embryologic development.
DOID:0050144,synonym,Kartageners syndrome
DOID:0050144,is_a,DOID:9562 
DOID:0050152,name,aspiration pneumonia
DOID:0050152,def,A bacterial pneumonia which is an acute pulmonary inflammatory response that develops after the inhalation of colonized oropharyngeal material containing bacteria. It is seen in individuals with dysphagia and gastric dysmotility. The disease has symptom tachypnea and has symptom cough.
DOID:0050152,is_a,DOID:874 
DOID:0050155,name,sensory system disease
DOID:0050155,def,A nervous system disease which is located in a part of the nervous system responsible for processing sensory information that consists of sensory receptors neural pathways and parts of the brain involved in sensory perception. Commonly recognized sensory systems are those for vision hearing somatic sensation (touch) taste and olfaction (smell).
DOID:0050155,is_a,DOID:863 
DOID:0050156,name,idiopathic pulmonary fibrosis
DOID:0050156,def,A pulmonary fibrosis that is characterized by scarring of the lung.
DOID:0050156,synonym,cryptogenic fibrosing alveolitis FIBROCYSTIC PULMONARY DYSPLASIA IDIOPATHIC PULMONARY FIBROSIS FAMILIAL
DOID:0050156,is_a,DOID:3770 
DOID:0050168,name,autoimmune polyendocrine syndrome type 2
DOID:0050168,def,An autoimmune polyendocrine syndrome that is characterized by abnormal functioning of the immune system that causes auto-reactivity against endocrine organs. It is more heterogeneous and has not been linked to one gene.
DOID:0050168,synonym,Schmidt syndrome
DOID:0050168,is_a,DOID:14040 
DOID:0050185,name,erythema multiforme
